incident_id,date,time,location,pit_name,incident_type,severity,description,equipment_involved,injuries,lost_time_days,root_cause,corrective_action,status
INC-2026-001,2026-01-05,07:45,Haul Road Junction A,Pit-A North,Vehicle Collision,High,Dump truck (DT-14) sideswiped a light vehicle at a blind corner near the ROM pad. Light vehicle driver sustained a fractured wrist.,Dump Truck DT-14 / Light Vehicle LV-07,1,12,Inadequate traffic separation and missing convex mirror at junction,Install convex mirror at junction; enforce 20 km/h speed limit and traffic management plan,Closed
INC-2026-002,2026-01-12,14:20,Pit Floor Bench 3,Pit-A North,Ground Collapse,Critical,Bench face failure on the northern highwall. Three workers evacuated safely; one operator struck by falling rock and hospitalised.,Excavator EX-03,1,31,Geotechnical monitoring data not reviewed before shift; slope angle exceeded design,Halt operations on bench 3; engage geotechnical engineer for stability audit; review batter angles,Under Investigation
INC-2026-003,2026-01-19,09:10,Crusher Feed Area,Coal Processing Plant,Falling Object,Medium,A loose steel plate (approx. 12 kg) fell from the crusher feed chute onto the walkway below during maintenance. No one injured.,Crusher CR-02,0,0,Inadequate pre-maintenance inspection; missing bolts not identified during walkround,Mandatory torque-check checklist for all feed chute bolts before restarting; install fall-protection netting,Closed
INC-2026-004,2026-01-27,22:55,Haul Road — Night Shift,Pit-B South,Near Miss - Vehicle,Medium,Light vehicle driver fell asleep briefly and drifted toward the berm before recovering. No contact with berm.,Light Vehicle LV-12,0,0,Fatigue — driver had worked 11 consecutive days without a rest day,Mandatory fatigue assessment before night shifts; enforce maximum 10-day roster; install in-cab fatigue alert,Closed
INC-2026-005,2026-02-03,06:30,Workshop Bay 4,Maintenance Workshop,Chemical Exposure,Low,Mechanic splashed hydraulic fluid in eyes while replacing hose under pressure. Eye wash station used immediately; no lasting injury.,Dozer D-09,0,1,Isolation lockout (LOTO) procedure not followed before pressurised hose replacement,Toolbox talk on LOTO procedures; re-train all mechanics; inspect LOTO compliance weekly,Closed
INC-2026-006,2026-02-11,11:15,Pit-B Bench 5,Pit-B South,Slip and Fall,Low,Operator slipped on wet clay steps leading from the FEL access ladder. Minor bruising to hip.,FEL FE-06,0,0,No non-slip treads on ladder steps after heavy rainfall,Install rubber anti-slip treads on all FEL access ladders; add rainwater drainage channel,Closed
INC-2026-007,2026-02-18,13:40,Explosives Magazine,Explosives Storage Area,Near Miss - Explosives,Critical,Detonators were stored in close proximity to bulk ANFO in the magazine — a regulatory violation discovered during an unannounced audit.,None,0,0,Storage segregation not maintained; training gap in explosives handler team,Immediately re-segregate magazine; retrain all licensed shot-firers; schedule monthly magazine audits,Closed
INC-2026-008,2026-02-25,08:05,Overburden Dump,Pit-A North,Equipment Rollover,Critical,Motor grader (MG-02) rolled over on a steeply sloped overburden dump edge. Operator sustained multiple rib fractures and was airlifted.,Motor Grader MG-02,1,45,Dump edge not bermed to specification; operator operating too close to unprotected edge,Halt dump operations; construct 1.5x tyre-height berm; retrain all dump operators on edge management,Closed
INC-2026-009,2026-03-04,15:55,Coal Conveyor Belt CV-01,Coal Processing Plant,Entanglement,High,Maintenance worker's sleeve became entangled in a rotating conveyor roller while attempting to clear a blockage without isolating the belt.,Conveyor CV-01,1,20,Belt not isolated before blockage clearance; guard removed and not replaced,Mandatory LOTO before any conveyor access; inspect all conveyor guards; supervisor accountability review,Under Investigation
INC-2026-010,2026-03-10,10:30,Fuel Storage Area,Site Services,Fire Hazard,High,Diesel fuel overspill ignited briefly during bulk refuelling when static discharge contacted pooled fuel near a tanker. Extinguished within 30 seconds.,Fuel Tanker FT-01,0,0,No earthing lead connected during fuel transfer; bund not cleared of debris,Mandatory earthing protocol during all fuel transfers; bund clearance checklist; fire extinguisher audit,Closed
INC-2026-011,2026-03-17,07:00,Pit-A North Entry Gate,Pit-A North,PPE Violation,Low,Pre-shift inspection found 4 workers entering the pit without safety glasses and 2 without hearing protection. Corrected before entry.,None,0,0,Complacency; supervisors not enforcing PPE compliance at the gate,Gate PPE checks reinstated with supervisor sign-off; disciplinary notice issued; PPE refresher training,Closed
INC-2026-012,2026-03-24,16:45,Haul Road Bridge,Pit-B South,Structural Concern,Medium,Civil inspection identified hairline cracks in haul road bridge culvert wall. Bridge flagged for load restriction pending full structural assessment.,None,0,0,Routine inspection interval too long (6-monthly); cracks propagated undetected,Reduce inspection interval to monthly; impose 80t GVM load limit pending engineer sign-off,In Progress
INC-2026-013,2026-04-01,05:50,Pit-A Bench 7,Pit-A North,Ground Gas,High,Elevated CH4 readings (0.85% v/v) detected on Pit-A bench 7 by portable gas monitor. Area evacuated and ventilated.,None,0,3,Spontaneous coal seam gas emission from exposed coal face; no continuous gas monitoring in zone,Deploy fixed-point CH4 sensors on bench 7; establish 1.0% CH4 evacuation threshold; review ventilation plan,Under Investigation
INC-2026-014,2026-04-07,12:10,Workshop Overhead Crane,Maintenance Workshop,Rigging Failure,High,Sling rated at 5t failed while lifting a 3.8t excavator bucket. Bucket dropped 0.8 m onto workshop floor; no workers in drop zone.,Overhead Crane OC-01,0,0,Sling was past its service life and had visible wear not flagged during pre-use inspection,Replace all out-of-service slings; implement QR-coded sling register with inspection log; re-train riggers,Closed
INC-2026-015,2026-04-10,19:30,Pit-B ROM Pad,Pit-B South,Near Miss - Fire,Medium,Driver noticed smoke from engine compartment of haul truck HT-09 during tip cycle. Engine shutdown and fire suppression system activated. No fire developed.,Haul Truck HT-09,0,0,Hydraulic oil leak onto hot exhaust manifold; leak not identified in pre-start inspection,Service HT-09; improve pre-start inspection form to include hydraulic line check; review FPS activation log,Closed
INC-2026-016,2026-04-11,09:00,Coal Stockpile Area,Coal Processing Plant,Dust Exposure,Low,Three workers reported respiratory irritation after working downwind of the active coal stockpile during crushing operations without dust masks.,None,0,0,No dust suppression water cart deployed; wind speed exceeded 25 km/h threshold without alert,Install wind-speed triggered dust suppression protocol; issue P2 respirators for all stockpile workers,Closed
INC-2026-017,2026-04-12,11:25,Pit-A Bench 2,Pit-A North,Blast Exclusion Breach,Critical,One light vehicle was found inside the 500 m blast exclusion zone during a blast preparation period. Blast was held until vehicle was removed.,Light Vehicle LV-03,0,0,Exclusion zone check not completed by shot-firer; radio communication failure between shot-firer and fleet,Review blast exclusion checklist; install GPS geo-fencing on all site vehicles with blast-zone alert,In Progress
INC-2026-018,2026-04-13,14:55,Haul Road East,Pit-A North,Near Miss - Pedestrian,High,A pedestrian walked onto the active haul road from behind a parked loader without checking for approaching trucks. No collision; truck driver braked heavily.,Haul Truck HT-15 / FEL FE-04,0,0,No designated pedestrian walkway; walker not wearing high-visibility vest,Establish marked pedestrian corridor with physical barriers; ban unescorted pedestrian access to haul roads,In Progress
INC-2026-019,2026-04-14,08:20,Overburden Dump East,Pit-B South,Unsecured Load,Medium,Oversize rock (approx. 0.6 m diameter) fell from a rear tipper truck during haulage and struck the road. No other vehicles in proximity.,Dump Truck DT-22,0,0,Oversize rock not removed during loading; exclusion zone for tipping ramp not observed,Mandate oversize rock removal before loading; deploy exclusion zone markers at dump face; retrain loaders,Closed
INC-2026-020,2026-04-15,06:40,Pit-A Drill Pad,Pit-A North,Drill Rod Ejection,High,Drill rod segment ejected from down-the-hole drill rig during rod change. Rod landed 8 m from rig; operator sustained a minor laceration to forearm.,Drill Rig DR-05,1,5,Thread wear on drill rod coupling not identified; no exclusion zone enforced around drill rig during rod change,Remove DR-05 from service for inspection; enforce 15 m exclusion zone during rod changes; inspect all rod couplings,Under Investigation
